HY,Adult,Receiving,Parent
DB-Y74,DB-V89,DB-V89,1
DB-Y59,DB-V84,DB-V84,1
DB-Y59,DB-V84,DB-V84,1
DB-Y59,DB-V84,DB-V84,1
DB-Y51,DB-V86,DB-V70,0
DB-Y51,DB-V86,DB-V86,1
DB-X02,DB-V79,DB-V78,1
DB-L46,DB-V71,DB-V71,1
DB-L80,DB-V91,DB-V91,1
DB-L80,DB-V91,DB-L64,0
RD-Y35,RD-Y24,RD-Y24,1
RD-Y35,RD-Y24,RD-Y24,1
YL-N68,YL-B80,YL-B80,1
YL-J53,YL-B03,YL-B03,1
YL-J53,YL-B03,YL-B03,1
YL-J53,YL-B03,YL-B03,1
YL-K19,YL-B16,YL-B16,1
YL-L17,YL-B21,YL-B21,1
YL-J03,YL-B26,YL-B26,1
YL-J03,YL-B26,YL-B26,1
DB-Y74,DB-V89,DB-V89,1
DB-Y74,DB-V89,DB-V89,1
DB-Y74,DB-V89,-,0
YL-K88,YL-B14,YL-B14,1
YL-K88,YL-B14,YL-B14,1
YL-K88,YL-B14,YL-B14,1
YL-K88,YL-B14,YL-B14,1
YL-K88,YL-B14,YL-B14,1
YL-L17,YL-B21,YL-B21,1
YL-M12,YL-B18,YL-B18,1
YL-M12,YL-B18,U,0
YL-M12,YL-B18,-,0
YL-K82,YL-B52,YL-B52,1
YL-M12,YL-B18,YL-B18,1
