"","HOUR","ID","SITE","DayNum","DATE","TIME","BEG","Date_Banded","Colony_Site_Banded","count","date.diff"
"1",8,"DB-R85","CNB",27,2015-08-19,"8:44",3,2015-06-26,"GGNY",135,54
"2",8,"DB-P83","PWE",25,2015-08-17,"8:55",2,2015-06-26,"GGNY",135,52
"3",8,"RD-U21","PWE",25,2015-08-17,"8:55",0,2015-06-19,"EEME",135,59
"4",8,"DB-Y90","CNB",27,2015-08-19,"8:36",0,2015-06-25,"GGNY",135,55
"5",8,"YL-K00","PHH",14,2015-08-06,"8:40",3,2015-07-10,"SNME",135,27
"7",8,"DB-Z10","PHH",38,2015-08-30,"8:19",2,2015-07-03,"GGNY",135,58
"8",8,"DB-W97","THM",39,2015-08-31,"8:03",0,2015-06-29,"GGNY",135,63
"9",8,"DB-R31","CNB",48,2015-09-09,"8:55",0,2015-06-24,"GGNY",135,77
"10",8,"DB-S22","PWE",25,2015-08-17,"8:48",0,2015-06-27,"GGNY",135,51
"11",8,"DB-S05","CNB",27,2015-08-19,"8:31",0,2015-06-26,"GGNY",135,54
"12",8,"YL-K00","PHH",14,2015-08-06,"8:40",3,2014-06-21,"GGNY",135,411
"13",8,"DB-F28","PHH",38,2015-08-30,"8:42",0,2015-06-25,"MYMA",135,66
"14",8,"DB-W47","PHH",42,2015-09-03,"8:48",0,2015-06-30,"GGNY",135,65
"15",8,"DB-P80","CNB",40,2015-09-01,"8:58",0,2015-06-26,"GGNY",135,67
"16",8,"RD-U20","PHH",38,2015-08-30,"8:28",0,2015-06-19,"EEME",135,72
"17",8,"RD-L23","PWE",25,2015-08-17,"8:23",0,2015-07-10,"TBNS",135,38
"18",8,"DB-Y59","PWE",25,2015-08-17,"8:15",0,2015-06-23,"GGNY",135,55
"19",8,"RD-U21","PHH",38,2015-08-30,"8:36",0,2015-06-19,"EEME",135,72
"20",8,"DB-X94","PHH",42,2015-09-03,"8:48",0,2015-06-25,"GGNY",135,70
