,ID,DayNum,DATE,Date_Banded,date.diff
1,DB-R85,27,8/19/2015,6/26/2015,54
2,DB-P83,25,8/17/2015,6/26/2015,52
3,RD-U21,25,8/17/2015,6/19/2015,59
4,DB-Y90,27,8/19/2015,6/25/2015,55
5,YL-K00,14,8/6/2015,7/10/2015,27
7,DB-Z10,38,8/30/2015,7/3/2015,58
8,DB-W97,39,8/31/2015,6/29/2015,63
9,DB-R31,48,9/9/2015,6/24/2015,77
10,DB-S22,25,8/17/2015,6/27/2015,51
11,DB-S05,27,8/19/2015,6/26/2015,54
12,YL-K00,14,8/6/2015,6/21/2014,411
13,DB-F28,38,8/30/2015,6/25/2015,66
14,DB-W47,42,9/3/2015,6/30/2015,65
15,DB-P80,40,9/1/2015,6/26/2015,67
16,RD-U20,38,8/30/2015,6/19/2015,72
17,RD-L23,25,8/17/2015,7/10/2015,38
18,DB-Y59,25,8/17/2015,6/23/2015,55
19,RD-U21,38,8/30/2015,6/19/2015,72
20,DB-X94,42,9/3/2015,6/25/2015,70
21,DB-X20,40,9/1/2015,6/23/2015,70
22,RD-W96,26,8/18/2015,6/24/2015,55
23,DB-X20,48,9/9/2015,6/23/2015,78
24,RD-L09,10,8/2/2015,7/10/2015,23
25,DB-X48,14,8/6/2015,6/24/2015,43
26,YL-E08,40,9/1/2015,7/1/2015,62
27,RD-W75,2,7/25/2015,6/22/2015,33
28,RD-U58,38,8/30/2015,6/26/2015,65
29,DB-P95,38,8/30/2015,6/26/2015,65
30,DB-W51,21,8/13/2015,6/27/2015,47
31,RD-S76,38,8/30/2015,6/25/2015,66
32,RD-W87,19,8/11/2015,6/24/2015,48
33,RD-W09,14,8/6/2015,6/17/2015,50
34,RD-Y25,23,8/15/2015,7/4/2015,42
35,DB-P80,27,8/19/2015,6/26/2015,54
36,RD-W96,40,9/1/2015,6/24/2015,69
37,RD-S63,38,8/30/2015,6/24/2015,67
38,RD-V43,14,8/6/2015,6/26/2015,41
39,DB-L00,14,8/6/2015,6/23/2015,44
40,DB-R18,40,9/1/2015,6/24/2015,69
41,RD-U28,7,7/30/2015,6/22/2015,38
42,RD-U91,38,8/30/2015,6/29/2015,62
43,DB-S12,48,9/9/2015,6/26/2015,75
44,DB-U29,25,8/17/2015,7/2/2015,46
45,DB-F28,21,8/13/2015,6/25/2015,49
46,DB-X46,25,8/17/2015,6/24/2015,54
47,DB-R77,35,8/27/2015,6/26/2015,62
48,RD-S53,19,8/11/2015,6/24/2015,48
49,RD-U46,38,8/30/2015,6/25/2015,66
50,DB-U07,27,8/19/2015,6/30/2015,50
51,RD-U30,35,8/27/2015,6/22/2015,66
52,YL-F24,38,8/30/2015,6/19/2015,72
53,DB-W16,40,9/1/2015,6/30/2015,63
54,DB-F22,19,8/11/2015,6/17/2015,55
55,DB-Y73,59,9/20/2015,6/24/2015,88
56,DB-T25,56,9/17/2015,6/27/2015,82
57,DB-L12,40,9/1/2015,6/18/2015,75
58,RD-U99,25,8/17/2015,6/29/2015,49
59,RD-P95,32,8/24/2014,7/5/2014,50
60,DB-T76,19,8/11/2015,6/27/2015,45
61,DB-L57,26,8/18/2015,6/22/2015,57
62,DB-Z14,40,9/1/2015,7/3/2015,60
63,DB-Y19,23,8/15/2015,6/17/2015,59
64,RD-J73,59,9/20/2015,7/3/2015,79
65,DB-S74,38,8/30/2015,6/29/2015,62
66,DB-Z60,40,9/1/2015,7/3/2015,60
67,RD-U91,19,8/11/2015,6/29/2015,43
68,DB-T59,31,8/23/2015,6/26/2015,58
69,DB-S36,27,8/19/2015,6/27/2015,53
70,DB-Y27,21,8/13/2015,6/20/2015,54
71,DB-L88,14,8/6/2015,6/22/2015,45
72,DB-P94,32,8/24/2015,6/26/2015,59
73,YL-E04,32,8/24/2015,6/29/2015,56
74,DB-L96,12,8/4/2015,6/22/2015,43
75,DB-R20,19,8/11/2015,6/24/2015,48
76,DB-T25,42,9/3/2015,6/27/2015,68
77,DB-L24,9,8/1/2015,6/20/2015,42
78,DB-L24,23,8/15/2015,6/20/2015,56
79,RD-W30,48,9/9/2015,6/19/2015,82
80,RD-L28,21,8/13/2015,7/10/2015,34
81,DB-Y25,23,8/15/2015,6/20/2015,56
82,DB-L34,19,8/11/2015,6/19/2015,53
83,DB-R56,40,9/1/2015,6/25/2015,68
84,DB-P25,31,8/23/2015,6/26/2015,58
85,DB-L88,31,8/23/2015,6/22/2015,62
86,RD-S85,23,8/15/2015,6/26/2015,50
87,RD-U67,38,8/30/2015,6/27/2015,64
88,DB-L43,56,9/17/2015,6/20/2015,89
89,RD-V11,23,8/15/2015,6/24/2015,52
90,DB-W21,59,9/20/2015,6/30/2015,82
91,DB-R77,9,8/1/2015,6/26/2015,36
92,DB-W23,42,9/3/2015,6/30/2015,65
93,DB-P71,19,8/11/2015,6/26/2015,46
94,DB-W35,27,8/19/2015,6/30/2015,50
95,RD-W12,1,7/24/2015,6/18/2015,36
96,DB-L81,56,9/17/2015,6/20/2015,89
97,DB-W44,31,8/23/2015,6/30/2015,54
98,RD-S58,19,8/11/2015,6/24/2015,48
99,DB-X83,9,8/1/2015,6/25/2015,37
100,DB-W45,25,8/17/2015,6/30/2015,48
101,DB-X93,16,8/8/2015,6/25/2015,44
102,DB-X32,9,8/1/2015,6/24/2015,38
103,RD-S60,38,8/30/2015,6/24/2015,67
104,RD-S60,42,9/3/2015,6/24/2015,71
105,DB-W95,48,9/9/2015,6/29/2015,72
106,DB-F23,37,8/29/2015,6/25/2015,65
107,DB-U19,38,8/30/2015,7/1/2015,60
108,RD-V22,19,8/11/2015,6/25/2015,47
109,RD-L28,14,8/6/2015,7/10/2015,27
110,RD-U30,42,9/3/2015,6/22/2015,73
111,RD-W45,9,8/1/2015,6/20/2015,42
112,DB-S57,59,9/20/2015,6/27/2015,85
113,DB-R16,37,8/29/2015,6/24/2015,66
114,RD-S76,26,8/18/2015,6/25/2015,54
115,RD-V36,23,8/15/2015,6/25/2015,51
116,DB-W90,40,9/1/2015,6/29/2015,64
117,DB-U69,42,9/3/2015,7/1/2015,64
118,DB-Z21,38,8/30/2015,7/3/2015,58
119,RD-T96,7,7/30/2015,6/16/2015,44
120,DB-R33,40,9/1/2015,6/24/2015,69
121,DB-X16,26,8/18/2015,6/23/2015,56
122,RD-W88,40,9/1/2015,6/24/2015,69
123,DB-S75,32,8/24/2015,6/29/2015,56
124,RD-S84,5,7/28/2015,6/26/2015,32
125,DB-W09,25,8/17/2015,6/27/2015,51
126,RD-U65,42,9/3/2015,6/27/2015,68
127,RD-U21,42,9/3/2015,6/19/2015,76
128,DB-P41,32,8/24/2015,6/26/2015,59
129,RD-U67,25,8/17/2015,6/27/2015,51
130,DB-R74,37,8/29/2015,6/26/2015,64
131,RD-V11,27,8/19/2015,6/24/2015,56
132,RD-W57,17,8/9/2015,6/20/2015,50
133,RD-J75,59,9/20/2015,7/6/2015,76
